Dataset,n,D,C,Algorithm,AMI,ARI,Time
iris,150,4,3,KMeans,0.6552228479234871,0.6201351808870379,0.0764830112457275
iris,150,4,3,DBSCAN,0.7315847607219574,0.5681159420289855,0.0046038627624511
iris,150,4,3,MeanShift,0.7315847607219574,0.5681159420289855,0.317058801651001
iris,150,4,3,QuickShift,0.7315847607219574,0.5681159420289855,0.0110368728637695
iris,150,4,3,LSH-QuickShift,0.673256403066597,0.6421974809457369,0.0173859596252441
digits,1797,64,10,KMeans,0.6702718607692967,0.5363467981485474,0.1266400814056396
digits,1797,64,10,DBSCAN,0.0038666164392599,9.4217145547524e-05,0.0822761058807373
digits,1797,64,10,MeanShift,0.0078959423613839,8.37350466209837e-05,47.90480422973633
digits,1797,64,10,QuickShift,0.0005162552228536,2.899138991800749e-05,0.4432380199432373
digits,1797,64,10,LSH-QuickShift,0.5360752521238631,0.3718977553612969,0.4561038017272949
ionosphere,351,34,2,KMeans,0.1231258053124097,0.1679020141425987,0.0753178596496582
ionosphere,351,34,2,DBSCAN,0.3626484709680945,0.3511194571825783,0.0278699398040771
ionosphere,351,34,2,MeanShift,0.1148141002688738,0.2944162696452023,13.279808759689333
ionosphere,351,34,2,QuickShift,0.1170763985752146,0.2925842069350536,0.0556132793426513
ionosphere,351,34,2,LSH-QuickShift,0.0336950592441134,-0.035497893885004,0.073746919631958
vehicle,846,18,4,KMeans,0.1119912830459183,0.0768839640032142,0.1082937717437744
vehicle,846,18,4,DBSCAN,0.0085537492030988,0.0006205453549737,0.0698010921478271
vehicle,846,18,4,MeanShift,0.0052789668906979,0.000575197449984,66.1409239768982
vehicle,846,18,4,QuickShift,0.0072083995954394,0.0005808629046061,0.1781661510467529
vehicle,846,18,4,LSH-QuickShift,0.0941744845329026,0.0771662028136066,0.0942080020904541
sonar,208,60,2,KMeans,0.0038054369049391,-0.0024340246047441,0.0715198516845703
sonar,208,60,2,DBSCAN,0.0332517463949512,-0.0023177659978975,0.0188243389129638
sonar,208,60,2,MeanShift,0.0352723137149587,-0.006348719562834,6.640517950057983
sonar,208,60,2,QuickShift,0.0421250250581014,-0.0060267434507839,0.0346560478210449
sonar,208,60,2,LSH-QuickShift,0.0,0.0,0.0208230018615722
wineqr,1599,11,6,KMeans,0.0829673590907817,0.0580675133019427,0.1622068881988525
wineqr,1599,11,6,DBSCAN,-0.0007714127337394,-0.0028911759269458,0.3155651092529297
wineqr,1599,11,6,MeanShift,0.0086672565299275,0.000652843276135,5.8110127449035645
wineqr,1599,11,6,QuickShift,0.0053093058667836,-0.0006737067819721,0.3464558124542236
wineqr,1599,11,6,LSH-QuickShift,0.0996132190751291,0.1059108080567917,0.1830971240997314
banknote,1372,4,2,KMeans,0.0105342276413962,0.0132133114108053,0.0694870948791503
banknote,1372,4,2,DBSCAN,0.0,0.0,0.1163041591644287
banknote,1372,4,2,MeanShift,0.0,0.0,5.316076993942261
banknote,1372,4,2,QuickShift,0.0,0.0,0.2659339904785156
banknote,1372,4,2,LSH-QuickShift,0.4135465128387657,0.2726531873420473,0.1242518424987793
mnist_fashion,60000,784,66,KMeans,0.0027985947553596,0.0001824134308889,162.50044226646423
mnist_fashion,60000,784,66,LSH-QuickShift,0.0016475248922852,-0.0002443964216221,51.32073593139648
mnist,70000,784,10,KMeans,0.4304236610953441,0.3214774012103532,63.005934715271
mnist,70000,784,10,LSH-QuickShift,0.1371889287164135,0.0681699605663554,63.26775979995728
ecoli,336,7,8,KMeans,0.6276905341905711,0.5179496612518172,0.0759558677673339
ecoli,336,7,8,DBSCAN,0.1000111005896982,0.0386798439844324,0.0146248340606689
ecoli,336,7,8,MeanShift,0.1039418935916178,0.0380544118776819,1.1677727699279783
ecoli,336,7,8,QuickShift,0.1039418935916178,0.0380544118776819,0.0412578582763671
ecoli,336,7,8,LSH-QuickShift,0.4024769084103908,0.37398678521863,0.0306341648101806
biodeg,1054,41,2,KMeans,0.1195869952298132,0.0499444120510429,0.073138952255249
biodeg,1054,41,2,DBSCAN,0.0470427723896865,-0.0485584564087723,0.0627048015594482
biodeg,1054,41,2,MeanShift,0.0442370423525506,-0.0697703226824376,31.883877754211422
biodeg,1054,41,2,QuickShift,0.026631763418262,-0.0555687490430262,0.2398750782012939
biodeg,1054,41,2,LSH-QuickShift,0.11295404715713,0.1993426555327273,0.1630890369415283
dna,3186,180,3,KMeans,0.2722346068647244,0.2632207830367716,0.2007989883422851
dna,3186,180,3,DBSCAN,0.0,0.0,0.2838461399078369
dna,3186,180,3,MeanShift,0.0,0.0,77.92869019508362
dna,3186,180,3,QuickShift,0.0,0.0,0.8188920021057129
dna,3186,180,3,LSH-QuickShift,0.0,0.0,1.9116780757904053
EEG Eye State,14980,14,2,KMeans,2.1969248596052363e-05,3.046345867582477e-05,0.0793888568878173
EEG Eye State,14980,14,2,DBSCAN,0.0004562641717275,-0.0005214321864094,9.85655117034912
EEG Eye State,14980,14,2,MeanShift,0.0025559540717671,0.0034242404682567,187.05217814445496
EEG Eye State,14980,14,2,QuickShift,0.0001848790934411,0.0009091030714674,48.68749213218689
EEG Eye State,14980,14,2,LSH-QuickShift,0.008101647931036703,0.007073597364330863,0.7717738151550293
